vit_result
Class,Accuracy,Precision,Recall,F1-score
all classes,0.71,,,
anger,,0.53,0.66,0.59
contempt,,0.71,0.72,0.71
disgust,,0.56,0.56,0.56
fear,,0.61,0.61,0.61
happy,,0.92,0.92,0.92
neutral,,0.88,0.89,0.89
sad,,0.64,0.63,0.64
surprise,,0.69,0.54,0.60

cnn_result
Class,Precision,Recall,F1-score
anger,0.39104477611940297,0.36541143654114366,0.37779379956741166
contempt,0.5115384615384615,0.41823899371069184,0.4602076124567474
disgust,0.3746397694524496,0.253411306042885,0.3023255813953488
fear,0.4362934362934363,0.4801699716713881,0.45718138907619693
happy,0.7947947947947948,0.826222684703434,0.810204081632653
neutral,0.6042632066728453,0.7459954233409611,0.6676907322068614
sad,0.35294117647058826,0.3601756954612006,0.35652173913043483
surprise,0.4230769230769231,0.4235705950991832,0.4233236151603499

resnet18_result

Class,Precision,Recall,F1-score
anger,0.5515759312320917,0.5369595536959554,0.5441696113074205
contempt,0.686411149825784,0.6194968553459119,0.6512396694214876
disgust,0.5080971659919028,0.48927875243664715,0.49851042701092346
fear,0.6535162950257289,0.5396600566572238,0.591155934833204
happy,0.8731268731268731,0.9094693028095734,0.8909276248725789
neutral,0.7169634489222118,0.8752860411899314,0.7882534775888717
sad,0.5911602209944752,0.6266471449487555,0.6083866382373845
surprise,0.6538461538461539,0.6149358226371062,0.6337943475646421
